Name,Ticker,Fund Size Comprehensive (mo-end) USD,Fund Yield - 12 Month Yield (mo-end),Average Credit Quality (mo-end),Effective Duration (mo-end),Annual Report Net Expense Ratio FY1,Tracking Error Total (1Y - mo-end) Cat Curr,Tracking Error Total (3Y - mo-end) Cat Curr,Tracking Error Total (5Y - mo-end) Cat Curr,Tax Cost Ratio 1Y mo-end,Tax Cost Ratio 3Y mo-end,Tax Cost Ratio 5Y mo-end,R-squared Total (excess return) (3Y - mo-end) USD,R-squared Total (excess return) (5Y - mo-end) USD
ProShares Managed Futures Strategy,FUT,"6,286,617.0000000000",0.0000000000,,,0.7500000000,13.6760000000,19.5170000000,15.8550000000,0.0000000000,0.3400000000,0.2200000000,4.8215288122,3.0578723839
Easterly Global Macro I,GRRIX,"8,746,533.0000000000",0.0000000000,BB,3.5119000000,1.4500000000,8.7420000000,12.9200000000,10.5520000000,0.0000000000,1.0900000000,0.6600000000,,
AXS Chesapeake Strategy I,EQCHX,"18,304,037.0000000000",0.0000000000,,,1.8700000000,11.2630000000,15.6200000000,13.3940000000,0.0000000000,0.6600000000,0.4000000000,30.0891371362,29.9328304556
Superfund Managed Futures Strategy I,SUPIX,"18,642,881.0000000000",11.3358900000,,,0.0000000000,10.4300000000,17.5810000000,15.3360000000,4.6900000000,3.1100000000,3.3500000000,,
AXS Aspect Core Diversified Strategy I,EQAIX,"20,345,696.0000000000",0.0000000000,,,1.4700000000,14.2190000000,20.2010000000,16.1920000000,0.0000000000,1.6000000000,1.0700000000,0.8053341363,0.8250246379
Guggenheim Managed Futures Strategy P,RYMFX,"23,017,883.0000000000",7.1357700000,,,1.7700000000,10.8650000000,17.9210000000,14.4060000000,2.8600000000,0.9600000000,1.4000000000,4.6896526538,8.6807218444
Longboard Managed Futures Strategy I,WAVIX,"39,142,337.0000000000",2.6248700000,,,2.9900000000,10.6790000000,23.9670000000,19.2130000000,1.1500000000,0.3900000000,0.2300000000,1.1353107058,0.2656414288
AXS Managed Futures Strategy A,MHFAX,"52,769,648.0000000000",0.0000000000,,,1.9400000000,11.6790000000,17.7190000000,14.9250000000,0.0000000000,1.6800000000,1.2700000000,14.9978362406,14.2765961562
First Trust Managed Future Strategy ETF,FMF,"61,512,783.0000000000",0.0158700000,,,0.9500000000,11.1300000000,16.8060000000,13.6010000000,0.0100000000,0.3200000000,0.2700000000,12.9553467517,12.3628553590
AQR Managed Futures Strategy HV I,QMHIX,"85,048,813.0000000000",9.9517400000,,,1.6600000000,20.2280000000,24.4080000000,19.6950000000,3.6600000000,1.7800000000,1.0700000000,,
Arrow Managed Futures Strategy A,MFTFX,"92,617,825.0000000000",0.0000000000,,,1.5100000000,15.8180000000,25.4770000000,23.0340000000,0.0000000000,3.2300000000,2.8600000000,0.0188883891,2.4315668091
WisdomTree Managed Futures Strategy ETF,WTMF,"147,000,520.0000000000",0.4174000000,,,0.6500000000,11.7970000000,18.4020000000,14.8750000000,0.1900000000,0.7500000000,0.4500000000,1.7092042211,1.9146524826
Altegris Futures Evolution Strategy I,EVOIX,"153,513,198.0000000000",1.3359800000,,,1.6900000000,13.3130000000,17.3070000000,14.5180000000,0.6200000000,1.1300000000,1.3800000000,15.4325636689,16.3461476021
Virtus FORT Trend Fund Class I,VAPIX,"163,357,543.0000000000",0.0000000000,,,1.3300000000,13.7590000000,10.4320000000,8.7500000000,0.0000000000,0.0000000000,0.0000000000,66.4811942239,64.2313915966
GuidePath® Managed Futures Strat Instl,GIFMX,"212,720,260.0000000000",0.0000000000,,,1.3000000000,10.3840000000,21.0430000000,16.7340000000,0.7700000000,0.7600000000,0.5400000000,0.0104237008,1.8169625450
Goldman Sachs Managed Futs Strat Instl,GMSSX,"263,358,487.0000000000",0.0000000000,,,1.0700000000,11.3530000000,20.9650000000,16.5810000000,0.2900000000,0.9900000000,0.6300000000,2.0657176024,0.0492250969
LoCorr Market Trend I,LOTIX,"273,641,254.0000000000",0.2310400000,,,1.7900000000,10.8210000000,17.0840000000,14.1820000000,0.1000000000,0.2100000000,0.2900000000,17.9012198195,19.9019714876
Credit Suisse Managed Futs Strat I,CSAIX,"384,090,751.0000000000",0.0000000000,,,1.3000000000,12.6820000000,21.0030000000,16.7760000000,0.0000000000,0.2300000000,0.3100000000,0.8374959584,0.3348780677
LoCorr Long/Short Commodity Strats I,LCSIX,"745,458,240.0000000000",2.6997500000,,,1.8300000000,15.3720000000,22.8290000000,18.8480000000,1.1800000000,2.0400000000,1.4900000000,18.6392326520,9.0619031533
Abbey Capital Futures Strategy I,ABYIX,"1,158,906,870.0000000000",1.4790400000,,,1.7900000000,11.0520000000,19.4740000000,15.4830000000,0.6400000000,1.2600000000,0.7600000000,0.0110512674,2.1424964132
PIMCO TRENDS Managed Futures Strat Instl,PQTIX,"1,429,090,815.0000000000",2.5581800000,,,1.3700000000,11.3900000000,22.0190000000,17.4990000000,1.3100000000,1.0900000000,0.6900000000,8.5791415075,1.9042652549
LoCorr Macro Strategies A,LFMAX,"1,480,691,666.0000000000",4.4138200000,,,2.1800000000,10.6330000000,16.4100000000,13.3610000000,2.1800000000,1.6100000000,1.5100000000,17.1154820856,16.5712581379
AQR Managed Futures Strategy N,AQMNX,"1,523,619,445.0000000000",4.2919200000,,,1.4900000000,17.3000000000,21.6370000000,17.1570000000,1.6700000000,0.9500000000,0.5700000000,,
AlphaSimplex Mgd Futs Strat Y,ASFYX,"1,532,853,258.0000000000",3.1818200000,,,1.4500000000,10.4660000000,21.0820000000,16.9070000000,1.3400000000,1.0800000000,0.7500000000,0.0083280914,1.9282625964
American Beacon AHL Mgd Futs Strat R5,AHLIX,"1,847,782,718.0000000000",2.9044300000,,,1.5400000000,10.3160000000,21.6750000000,17.3260000000,1.8600000000,1.3500000000,1.1300000000,3.4981521943,0.0058521996
